PCA_Type,Side,PH1_Bp_Dp,PH1_Bd_Glpe,PH1_Bp_Glpe,PH1_BP_BD,PH1_Dp_Glpe
Non-draught cattle,A,1.037722162,0.455078841,0.524569124,1.152699436,0.50550055
Non-draught cattle,A,0.901461988,0.438888889,0.489365079,1.115009042,0.542857143
Non-draught cattle,A,1.118764846,0.451139777,0.582611769,1.291421857,0.520763386
Non-draught cattle,A,1.036733455,0.492518101,0.549477072,1.115648481,0.530008045
Non-draught cattle,A,1.001096792,0.490132115,0.595498287,1.214975042,0.594845865
Non-draught cattle,A,0.98873158,0.474817865,0.541970225,1.141427618,0.548146975
Non-draught cattle,A,1.045704368,0.444444444,0.529903254,1.192282322,0.506742891
Non-draught cattle,A,1.050191083,0.454847278,0.547410359,1.20350365,0.52124834
Non-draught cattle,A,1.024704619,0.490120339,0.566929134,1.156714156,0.553261031
Non-draught cattle,A,0.979129924,0.499195365,0.536047634,1.07382334,0.547473447
Non-draught cattle,A,1.022540359,0.442754078,0.526505646,1.189160468,0.514899624
Non-draught cattle,A,1.04995971,0.474215247,0.626040999,1.320162107,0.596252402
Non-draught cattle,A,1.046265329,0.472727273,0.598724083,1.266531714,0.572248804
Non-draught cattle,A,1.020184031,0.435901484,0.542627092,1.244838827,0.53189138
Non-draught cattle,A,0.98007838,0.467221644,0.520464794,1.113956941,0.531044051
Non-draught cattle,A,1.011207621,0.433727811,0.53387574,1.230900409,0.52795858
Non-draught cattle,A,1.033927545,0.469808996,0.553912508,1.179016393,0.535736291
Non-draught cattle,A,0.969336112,0.505509642,0.560606061,1.108991826,0.57834022
Non-draught cattle,A,1.01216874,0.469797596,0.591872233,1.25984517,0.584756483
Non-draught cattle,A,1.009226594,0.493644385,0.556153731,1.126628294,0.551069239
Non-draught cattle,A,1.036211699,0.418640078,0.566680515,1.35362223,0.546877164
Non-draught cattle,A,1.102628635,0.429457822,0.582508495,1.356381149,0.528290737
Non-draught cattle,A,0.986557569,0.453091357,0.519224854,1.145960625,0.5262996
Non-draught cattle,A,1.079383542,0.436031332,0.570112118,1.307502642,0.528183075
Non-draught cattle,A,1.005447248,0.462428638,0.541120198,1.17017017,0.538188551
Non-draught cattle,A,0.945972495,0.435715585,0.525368249,1.205759599,0.555373704
Non-draught cattle,A,0.951203429,0.50907978,0.588655376,1.156312625,0.618853295
Non-draught cattle,A,0.986608637,0.450660181,0.511987491,1.136083269,0.518936762
Non-draught cattle,A,1.010386238,0.480883445,0.577765405,1.201466615,0.571826281
Non-draught cattle,A,1.078529137,0.483952569,0.547193676,1.13067625,0.507351779
Non-draught cattle,A,1.027961949,0.471571358,0.584302802,1.239054899,0.568408979
Non-draught cattle,A,0.955448354,0.457361865,0.53768764,1.175628492,0.562759502
Non-draught cattle,A,0.932752179,0.448863636,0.545600233,1.215514443,0.584935897
Non-draught cattle,A,0.813967311,0.373733906,0.470214592,1.258153422,0.577682403
Non-draught cattle,A,0.990454246,0.427682476,0.50605449,1.183248132,0.510931719
Non-draught cattle,A,1.006191038,0.471277649,0.563387257,1.195446585,0.559920766
Non-draught cattle,A,0.993252362,0.421007976,0.499575768,1.186618299,0.502969625
Non-draught cattle,A,0.992360164,0.42246399,0.557309225,1.319187523,0.561599755
Non-draught cattle,A,0.887619749,0.382070027,0.46344748,1.212990937,0.522123894
Non-draught cattle,A,1.013485477,0.499927273,0.568436364,1.137038115,0.560872727
Non-draught cattle,A,0.935262103,0.413853783,0.522316429,1.262079629,0.558470645
