PCA_Type,MC_e1,MC_f4,MC_a2,MC_b5,MC_a3,MC_b6,MC_ae2,MC_a8,MC_b10,MC_c8,MC_d10,MC_SDDD,MC_c7,MC_d9,MC_ae3,MC_ae7,MC_c2,MC_d5,MC_a1,MC_b4,MC_a7,MC_b9,MC_BpGL,MC_BatfGL,MC_BdGL
Non-draught cattle,0.670634921,0.67398568,0.863343506,0.861554476,0.961480363,0.938397581,0.347575449,0.955705706,0.921677803,0.910660661,0.903489235,1.389127325,1.08984726,1.167386091,0.387084592,0.460467206,0.822651746,0.844552394,1.122574956,1.185202864,1.143755615,1.19088729,0.297783784,0.279135135,0.286972973
Non-draught cattle,0.729183842,0.673808483,0.87890376,0.883381924,0.986762075,0.989477504,0.315168897,0.990305206,0.963263864,0.990664273,0.938184387,1.522696011,1.147670549,1.175741479,0.353846154,0.411397671,0.879222435,0.860382248,1.136850783,1.19239178,1.147254576,1.207171315,0.333,0.301055556,0.329055556
Non-draught cattle,0.729149798,0.698017714,0.866338158,0.879720724,0.973356401,0.96350365,0.311672313,1.017359855,0.93902439,0.972513562,0.891937669,1.574439462,1.053270662,1.087118084,0.35017301,0.396396396,0.828149061,0.835607744,1.138866397,1.169126951,1.101840971,1.144508671,0.309581152,0.28078534,0.310575916
Non-draught cattle,0.70778964,0.698707593,0.895123384,0.838498212,1.008272667,0.898467433,0.369271445,1.018382353,0.897035384,0.951203209,0.873764743,1.381622517,1.085017156,1.090728213,0.415949702,0.479222265,0.836075206,0.816746126,1.204824041,1.136510501,1.161646969,1.119777159,0.298108108,0.239954955,0.281036036
Non-draught cattle,0.644016227,0.671561605,0.854868181,0.883379501,0.948176028,0.936014089,0.357608979,0.936784897,0.907254623,0.962242563,0.900995733,1.493971753,1.08411215,1.125844294,0.396641575,0.441508218,0.878099713,0.877285319,1.107167005,1.142191977,1.055430229,1.133665126,0.33,0.278209607,0.30489083
Non-draught cattle,0.680093991,0.62891312,0.862874556,0.853092087,0.960972851,0.893129771,0.348400203,0.973918028,0.878720445,0.957867584,0.900139082,1.490995583,1.0217059,1.146298264,0.38800905,0.419443595,0.848654139,0.873886038,1.140651225,1.111150193,1.038826047,1.119022317,0.322837838,0.280585586,0.317567568
Non-draught cattle,0.752754821,0.695113314,0.899896801,0.855259689,0.988381978,0.91664312,0.335913313,0.965937413,0.896875864,0.931320964,0.881946364,1.678114724,1.053571429,1.118513324,0.368943043,0.407894737,0.867647059,0.841022937,1.201101928,1.148725212,1.09273183,1.137447405,0.379766355,0.293130841,0.33453271
Non-draught cattle,0.651370089,0.663619744,0.878068519,0.839372634,0.926031294,0.929619647,0.345832209,0.961311282,0.894266782,0.964559953,0.876404494,1.75172694,1.025753769,1.145331325,0.364722617,0.402638191,0.881035878,0.822606814,1.074612083,1.134917733,1.022298995,1.168674699,0.327045455,0.277454545,0.308
Non-draught cattle,0.679251701,0.722202231,0.845390441,0.84974781,0.945385514,0.915617849,0.323844346,0.946768061,0.9280951,0.933898801,0.919686866,1.600231303,0.994084682,1.127621756,0.362149533,0.386052304,0.83389919,0.842049376,1.101020408,1.151853185,1.007783313,1.137931034,0.30375,0.249821429,0.302142857
Non-draught cattle,0.745508982,0.796733212,0.893313298,0.88992489,1.014793741,0.985374247,0.332081142,1.002811358,0.97309544,0.948552151,0.993486265,1.573018081,1.077266922,1.21468144,0.377240398,0.423371648,0.844978713,0.908572909,1.186626747,1.247186933,1.138888889,1.189750693,0.313090129,0.267424893,0.315965665
Non-draught cattle,0.705610795,0.720298977,0.899314129,0.875644699,1.005213125,0.954403498,0.354183813,1.020865774,0.935414754,1.009654313,0.94704622,1.520412056,1.145583039,1.184532925,0.395890831,0.456183746,0.889437586,0.886532951,1.1640625,1.20220299,1.158303887,1.169984686,0.322843602,0.247819905,0.317014218
Non-draught cattle,0.668019181,0.695445545,0.856743145,0.841074426,0.941864042,0.90843155,0.35002798,0.943314849,0.889086069,0.951016636,0.875776398,1.486446342,1.124180626,1.211042945,0.384804675,0.455571741,0.863738109,0.828483492,1.129472519,1.19049505,1.115076475,1.229447853,0.315550239,0.259617225,0.307607656
Non-draught cattle,0.648780488,0.661326379,0.825920873,0.762421939,0.924274809,0.807825086,0.31787176,0.92342892,0.847570178,0.892922514,0.846664654,1.472638833,0.990859851,1.085106383,0.355725191,0.394380501,0.798635744,0.761607385,1.054703833,1.046199702,1.024712255,1.086266925,0.332606635,0.251137441,0.291327014
Non-draught cattle,0.673070206,0.642151482,0.812201592,0.806094183,0.883949192,0.843722818,0.301061008,0.893492851,0.857395404,0.837467172,0.886564526,1.382198953,0.994800693,1.085889571,0.327655889,0.393414211,0.76127321,0.833518006,1.06950751,1.064763996,1.06135182,1.050162396,0.303482143,0.241651786,0.281919643
Non-draught cattle,0.653515625,0.667354519,0.844668845,0.824657534,0.95725345,0.918305085,0.347787348,0.966689327,0.919551935,0.950373895,0.890020367,1.41782502,1.06190657,1.090682196,0.394143386,0.44473984,0.83041283,0.798173516,1.1109375,1.118035493,1.080136726,1.12687188,0.284158879,0.236915888,0.276028037
Non-draught cattle,0.698865858,0.694056641,0.835086722,0.798235629,0.950177936,0.876014991,0.326983224,0.943159923,0.893596687,0.912652537,0.888818095,1.350226929,1.073668304,1.118236473,0.372047881,0.434454099,0.808075064,0.793966989,1.148611654,1.118867172,1.10955799,1.124248497,0.30627907,0.247023256,0.282
Non-draught cattle,0.667213653,0.694434068,0.870600414,0.829661472,0.954055587,0.881027104,0.344461698,0.937569677,0.869124683,0.904124861,0.856177878,1.464363636,1.034109021,1.095821326,0.377481566,0.424290724,0.839544513,0.817302526,1.104036757,1.153530071,1.072362129,1.112391931,0.331045455,0.282,0.311136364
Non-draught cattle,0.687810064,0.703317182,0.886646392,0.873263397,1.00817353,0.935601458,0.350013824,0.976552984,0.924647253,0.942448234,0.921945362,1.711960636,1.07130495,1.145041014,0.397988054,0.438213915,0.855681504,0.870711653,1.136428065,1.147968692,1.11007269,1.148396719,0.358584906,0.286839623,0.313915094
Non-draught cattle,0.674981104,0.700393701,0.835584938,0.829811867,0.929050815,0.900722589,0.322219028,0.926681543,0.889819988,0.938795027,0.855990068,1.57523246,1.078359575,1.084119497,0.358261425,0.410472354,0.846507617,0.798263386,1.098639456,1.128740157,1.064445258,1.126965409,0.302028302,0.242641509,0.292264151
Non-draught cattle,0.679438059,0.659202239,0.81616065,0.806003473,0.929738562,0.892582418,0.307434855,0.927717391,0.87244898,0.917934783,0.88453276,1.485499463,1.049720323,1.122699387,0.350217865,0.399627098,0.807554387,0.817166956,1.090038314,1.136808957,1.060907396,1.107361963,0.344170404,0.276995516,0.315112108
Non-draught cattle,0.707436002,0.682246998,0.881946625,0.839059115,0.951880718,0.917117727,0.335321821,0.96628827,0.909426367,0.964568283,0.894666219,1.430017606,1.094457455,1.149073675,0.361911217,0.416861827,0.880376766,0.82544104,1.141405933,1.162521441,1.096409055,1.168031021,0.281741294,0.232985075,0.291691542
Non-draught cattle,0.680048173,0.700817908,0.866121936,0.84974587,0.954624177,0.940907492,0.333752357,0.957609451,0.92849705,0.933981932,0.890662964,1.432025547,1.09580106,1.115167319,0.367855906,0.432939258,0.844751728,0.815120712,1.106382979,1.151528196,1.123522218,1.162538027,0.293668342,0.248743719,0.291507538
Non-draught cattle,0.735457577,0.724449686,0.88099756,0.85253078,1.001849568,0.93377285,0.342911358,0.968414779,0.904761905,0.973778308,0.899535424,1.437121212,1.133148405,1.049813623,0.389950678,0.438626907,0.885876931,0.847606019,1.204149685,1.224842767,1.126907074,1.05591325,0.340560748,0.288224299,0.313224299
Non-draught cattle,0.651570248,0.64556962,0.797442968,0.767484824,0.882875382,0.827311522,0.303334169,0.880431774,0.805986696,0.893717133,0.841740576,1.395980648,1.161928751,1.103160189,0.335831252,0.43540842,0.809476059,0.801530747,1.051570248,1.051717902,1.144656351,1.056302216,0.317232143,0.258080357,0.300357143
Non-draught cattle,0.659058488,0.635396886,0.824133148,0.812899477,0.903314077,0.872738615,0.311511789,0.943773825,0.877941638,0.980304956,0.921556323,1.438316401,1.069300069,1.146817649,0.341441168,0.389119889,0.856033287,0.853282975,1.059557775,1.06266616,1.029452529,1.092541976,0.294841629,0.259909502,0.28438914
Non-draught cattle,0.748743719,0.716829609,0.84300427,0.830888031,0.946685472,0.907251265,0.281587541,0.949363508,0.900669643,0.941725601,0.895926339,1.428018303,1.078044041,1.109920498,0.316220028,0.363018135,0.836222055,0.826512227,1.124288107,1.127094972,1.086787565,1.115796751,0.331801802,0.275810811,0.313603604
Non-draught cattle,0.733543417,0.676176362,0.837085758,0.810515357,0.992203898,0.908136483,0.307108525,0.97409479,0.897665033,0.966440977,0.905736523,1.440767206,1.105759515,1.152604549,0.364017991,0.408891883,0.830508475,0.817803227,1.158613445,1.153760652,1.114516672,1.142333089,0.351770335,0.285311005,0.323253589
Non-draught cattle,0.664388243,0.699778434,0.861978483,0.838477914,0.951622248,0.908592849,0.351876148,0.941800459,0.887355674,0.923451835,0.885102788,1.498908297,1.05675853,1.146661802,0.388470452,0.43996063,0.845184991,0.836349122,1.122693096,1.163589365,1.077755906,1.149580445,0.332672811,0.269723502,0.313271889
Non-draught cattle,0.646936347,0.662752772,0.843929309,0.809436133,0.940168755,0.884334926,0.344732614,0.92994436,0.88013013,0.91856348,0.897147147,1.456425907,1.046384327,1.129845572,0.384045001,0.43272832,0.833601102,0.825086306,1.09369423,1.147097195,1.059348891,1.108414749,0.351565217,0.275086957,0.333130435
Non-draught cattle,0.692671395,0.656611715,0.867357251,0.799391326,0.939775527,0.87970974,0.349166246,0.917669072,0.852583176,0.896017108,0.838788207,1.388629003,1.081639238,1.056918882,0.37831919,0.445950307,0.84689237,0.786457012,1.159405606,1.105576991,1.107776702,1.074301295,0.331150442,0.280353982,0.313628319
Non-draught cattle,0.646592138,0.686841078,0.819470957,0.816004508,0.91198786,0.884004884,0.330515408,0.89089831,0.852266039,0.897124222,0.845497351,1.407245223,1.045973038,1.061322497,0.367830046,0.418942274,0.825197709,0.80952381,1.083663902,1.130808278,1.038714138,1.069818988,0.318058252,0.266116505,0.304805825
Non-draught cattle,0.641699676,0.5861678,0.838850174,0.802412407,0.908776345,0.883897501,0.321428571,0.918308964,0.868241144,0.896694215,0.849596022,1.396122897,1.037895511,1.025506377,0.348222712,0.407284768,0.819105691,0.78518093,1.040331293,1.055933485,1.062913907,1.048012003,0.305784753,0.244932735,0.278609865
Non-draught cattle,0.664056674,0.730182927,0.849664054,0.859123055,0.952904239,0.940830235,0.35106383,0.948141206,0.927045177,0.936269916,0.922466422,1.624709527,1.043523677,1.121752042,0.393720565,0.436629526,0.839025756,0.854879774,1.131618195,1.157393293,1.056754875,1.12731997,0.316100917,0.264541284,0.295550459
Non-draught cattle,0.662566489,0.667519182,0.796168582,0.788330717,0.924377224,0.873080267,0.287100894,0.915956509,0.863571224,0.92653541,0.869303525,1.430763473,1.023369036,1.113436123,0.333333333,0.364816618,0.805363985,0.793563579,1.036236702,1.100840336,1.011684518,1.106093979,0.299482759,0.253275862,0.281163793
Non-draught cattle,0.671707857,0.64382501,0.809728568,0.789079823,0.92,0.857013847,0.320343994,0.933973962,0.859341986,0.890886547,0.848777543,1.567610063,1.008067345,1.027027027,0.363969466,0.418098913,0.772373018,0.779379157,1.111398008,1.102206736,1.056822168,1.03981008,0.305319149,0.249021277,0.268340426
Non-draught cattle,0.693758419,0.806629834,0.882272416,0.910655438,1.016962525,0.973004695,0.353524983,1.014561196,0.976442874,0.975206612,0.934825285,1.444336412,1.078798433,1.163734115,0.407495069,0.449717022,0.848049281,0.871841816,1.157611136,1.249121045,1.122333478,1.215542522,0.338025478,0.30044586,0.339617834
Non-draught cattle,0.826538769,0.681171909,0.935534102,0.847160179,1.08604483,0.934201267,0.291497976,1.073624017,0.926701571,0.97498213,0.909249564,1.772494172,1.072327044,1.130642361,0.338394794,0.367924528,0.84957957,0.831206126,1.200639488,1.14390349,1.18081761,1.15234375,0.388766234,0.330649351,0.392532468
Non-draught cattle,0.641120864,0.633466135,0.824207493,0.804702111,0.908985842,0.884062225,0.326696358,0.912412993,0.862049227,0.892691415,0.863480252,1.43579627,1.015171504,1.064573042,0.360300491,0.411279683,0.806392455,0.806037937,1.062120189,1.090909091,1.037598945,1.062808751,0.32876652,0.27,0.290176211
