PCA_Type,MT_e1,MT_f4,MT_a2,MT_b5,MT_a3,MT_b6,MT_ae2,MT_a8,MT_b10,MT_c8,MT_d10,MT_SDDD,MT_c7,MT_d9,MT_ae3,MT_ae7,MT_c2,MT_d5,MT_a1,MT_b4,MT_a7,MT_b9,MT_BpGL,MT_BatfGL,MT_BdGL
Non-draught cattle,0.672138623,0.624878993,0.793233083,0.794960304,0.903464383,0.858367499,0.289473684,0.887571702,0.854545455,0.91625239,0.866419295,0.989530988,1.091571754,1.11936721,0.329700272,0.385876993,0.818865345,0.806006213,1.058367533,1.114714424,1.057403189,1.104026846,0.216018957,0.221137441,0.235118483
Non-draught cattle,0.680655476,0.605004102,0.78753217,0.756818182,0.914039164,0.848948375,0.300543323,0.891550664,0.818684696,0.876982842,0.798094653,1.118537666,1.023422743,1.132083697,0.348821772,0.397053268,0.774663998,0.737784091,1.100719424,1.092698934,1.040423121,1.161290323,0.240649351,0.220822511,0.245670996
Non-draught cattle,0.681741336,0.614096916,0.796641791,0.800315457,0.932653804,0.864100817,0.295087065,0.890820584,0.836189848,0.878998609,0.807185234,1.188348821,1.019766035,1.132223763,0.345467783,0.382815651,0.786069652,0.772555205,1.082840237,1.117621145,1.033481242,1.172907998,0.237752294,0.240366972,0.252155963
Non-draught cattle,0.69515885,0.641980198,0.806030734,0.774688677,0.910878113,0.850826972,0.273122644,0.897063569,0.827660891,0.8583414,0.819616337,1.01874574,0.974002197,1.058330004,0.308650066,0.344928598,0.77123804,0.767158992,1.051437216,1.059405941,1.017942146,1.068717539,0.217559055,0.212834646,0.228425197
Non-draught cattle,0.651874785,0.621044886,0.851691475,0.780744337,0.950181159,0.850719953,0.338836265,0.922603342,0.819185059,0.935209616,0.855121675,1.090935252,1.036387264,1.121335807,0.378019324,0.406757635,0.863328823,0.814994606,1.08255934,1.065121413,1.022417154,1.074211503,0.231269231,0.250961538,0.252384615
Non-draught cattle,0.639784946,0.628862232,0.829865683,0.808958446,0.903383028,0.864226002,0.328417171,0.934737467,0.834400223,0.946010086,0.841914834,1.126045573,1.012059664,1.091663659,0.357511468,0.395747382,0.839873584,0.816243929,1.058803763,1.089785533,1,1.081919885,0.22,0.239379845,0.25755814
Non-draught cattle,0.639740968,0.609187279,0.768938434,0.717664821,0.874135945,0.775843308,0.293387383,0.854207712,0.766048885,0.85026738,0.792640344,1.129580768,1.00132582,1.060366511,0.333525346,0.383824992,0.765391437,0.742576749,1.034423995,1.007773852,1.005966192,1.024793388,0.228867188,0.228554688,0.247070313
Non-draught cattle,0.667403315,0.565299924,0.79038569,0.72289823,0.868283697,0.784043191,0.283957518,0.867750844,0.777513385,0.87910402,0.814396193,1.090166612,1.047149123,1.051459293,0.311943506,0.371345029,0.800726663,0.757190265,1.041620626,0.992406986,1.033625731,1.003840246,0.220199203,0.209681275,0.232788845
Non-draught cattle,0.656685948,0.663345196,0.810550936,0.810404014,0.884571753,0.860869565,0.308991684,0.87883911,0.837380628,0.873767258,0.851023192,1.183577713,1.040604027,1.060884354,0.337209302,0.398993289,0.805873181,0.823607077,1.061245322,1.092170819,1.046644295,1.043877551,0.265643154,0.246721992,0.27406639
Non-draught cattle,0.722984276,0.672008547,0.833716475,0.807919774,0.941176471,0.88606881,0.281736909,0.937931034,0.852183347,0.932471264,0.854353133,1.166283745,1.043743969,1.144622093,0.31805075,0.354776455,0.828863346,0.809976858,1.092004015,1.118945869,1.049855259,1.141715116,0.234960938,0.241054688,0.266523438
Non-draught cattle,0.732301613,0.644746247,0.872313527,0.803324808,0.990809879,0.886787126,0.309987358,0.979279024,0.845946674,0.948339483,0.841906814,1.246852932,1.053278689,1.106548673,0.352096496,0.386506936,0.844753477,0.799488491,1.135989463,1.122587563,1.087641866,1.111858407,0.216539924,0.22365019,0.262889734
Non-draught cattle,0.680928209,0.687843137,0.82925488,0.822309417,0.924302789,0.890980869,0.312895243,0.933457134,0.863449088,0.917363045,0.827839906,1.133373385,1.034554974,1.097113885,0.348758811,0.397207679,0.814957382,0.788396861,1.093546048,1.150588235,1.052705061,1.144305772,0.233346774,0.233508065,0.253669355
Non-draught cattle,0.680681818,0.663174859,0.800447177,0.808340474,0.906329114,0.863594751,0.298211291,0.896400626,0.826036194,0.913302034,0.827495622,1.064526383,1.101132075,1.126788553,0.337658228,0.402641509,0.815539407,0.809768638,1.084848485,1.140209508,1.080754717,1.124801272,,,
Non-draught cattle,0.646590516,0.641474991,0.764864138,0.733245033,0.851707609,0.777746558,0.262308313,0.860472155,0.783913905,0.858050847,0.783913905,0.971742543,0.975903614,0.989631748,0.292091072,0.335628227,0.762711864,0.733245033,0.984077535,1.010587806,0.978657487,0.989631748,0.218647541,0.22557377,0.246147541
Non-draught cattle,0.709600948,0.632115548,0.837118948,0.805461798,0.937730164,0.867768595,0.300358637,0.947564276,0.848142165,0.941474966,0.832956381,1.141829394,1.05297011,1.105963106,0.336457985,0.380249716,0.83173939,0.791040196,1.106677203,1.115123195,1.059780552,1.126126126,0.205691057,0.20004065,0.234715447
Non-draught cattle,0.623632385,0.641084383,0.774667029,0.750421112,0.869167429,0.796009529,0.309866812,0.873161765,0.779754959,0.864276961,0.784130688,1.126403593,1.004987531,1.055773763,0.347666972,0.406127538,0.766784452,0.754632229,1.039387309,1.020618557,1.015318846,1.049882168,0.221968504,0.20976378,0.232637795
Non-draught cattle,0.681296144,0.631151048,0.80608927,0.757439134,0.951168469,0.847628658,0.315104936,0.954497725,0.843373494,0.947497375,0.837349398,1.091576372,1.093737374,1.082648204,0.371817231,0.430707071,0.800177357,0.752028855,1.118539787,1.07830552,1.101818182,1.09043704,0.20846473,0.205435685,0.226639004
Non-draught cattle,0.67944664,0.637952559,0.76970547,0.740920789,0.890909091,0.805158484,0.287517532,0.883451384,0.807668329,0.876690277,0.788029925,1.069808028,1.030658592,1.073916737,0.332792208,0.387963664,0.763814867,0.722905347,1.08458498,1.078235539,1.038607116,1.100679694,0.231721311,0.213811475,0.23057377
Non-draught cattle,0.62173913,0.659970782,0.805264503,0.799843219,0.909904707,0.81193634,0.330181446,0.883870968,0.81517976,0.861430575,0.793608522,1.006504525,0.970300158,1.101256467,0.373086919,0.40821485,0.784819831,0.778677816,1.053846154,1.117969321,0.995576619,1.131189948,,,
Non-draught cattle,0.663558374,0.630333592,0.821193945,0.79291631,0.909522303,0.858645221,0.313053413,0.898156826,0.827175209,0.870040612,0.836114422,1.044217687,0.996422182,1.101255887,0.34672572,0.392128801,0.795487004,0.80148529,1.072361059,1.076803724,1.02862254,1.089481947,,,
Non-draught cattle,0.648003132,0.611769514,0.764926449,0.744493392,0.878727634,0.810681164,0.287568503,0.8743818,0.776178812,0.879327399,0.762706675,1.06210976,1.012144213,1.016319869,0.330351226,0.378368121,0.769252956,0.731571219,1.038371182,1.035962403,1.006451613,1.034271726,0.211314741,0.204621514,0.220796813
Non-draught cattle,0.687374077,0.604570637,0.787878788,0.772038739,0.884158142,0.839136302,0.283567381,0.875205255,0.828624733,0.883689108,0.83075693,1.113273308,1.035267714,1.094068094,0.318219519,0.369028535,0.795516137,0.774025329,1.073875084,1.076523546,1.025328631,1.091260091,0.258134921,0.252261905,0.266428571
Non-draught cattle,0.661846023,0.623399558,0.79854292,0.76111817,0.894288755,0.814965986,0.30566994,0.888301621,0.782750735,0.867512333,0.753021888,1.052180395,0.993944287,1.042986425,0.342319972,0.389584174,0.779854292,0.732210928,1.072309655,1.057836645,1.017763423,1.084162896,0.203203463,0.210519481,0.225887446
Non-draught cattle,0.740956341,0.63716443,0.812480401,0.817073171,0.892524974,0.879501851,0.253684541,0.899965266,0.841004184,0.86488364,0.807209527,1.032600733,1.006874242,1.078245916,0.27867723,0.327133037,0.780809031,0.78424015,1.077338877,1.096057047,1.047715326,1.12338779,0.232564103,0.217136752,0.236196581
Non-draught cattle,0.669217391,0.623640828,0.764631366,0.744407303,0.863766457,0.796642818,0.277172536,0.857630009,0.784340287,0.84228474,0.780547277,1.082994049,0.988659106,1.029296177,0.313108185,0.36490994,0.750950089,0.740807406,1.04973913,1.015433181,1.006671114,1.034297964,0.23454902,0.229686275,0.25
Non-draught cattle,0.636396527,0.674606379,0.780657748,0.771330078,0.862642439,0.814623786,0.290412486,0.869605713,0.804856115,0.865880161,0.8132494,1.117245658,1.016029144,1.075733545,0.320911611,0.379599271,0.777313266,0.779373743,1.013386397,1.083972547,1.020400729,1.064631245,0.213574297,0.225180723,0.241566265
Non-draught cattle,0.686360567,0.643006263,0.796906694,0.784194529,0.907070707,0.842219804,0.281440162,0.903940178,0.810683425,0.896462468,0.808326787,1.062975981,1.013988289,1.085824833,0.32034632,0.361093038,0.790314402,0.781914894,1.06110736,1.077244259,1.022446324,1.088990503,,,
Non-draught cattle,0.669724771,0.664677359,0.768771755,0.763640999,0.885198969,0.845567476,0.278717056,0.893899971,0.820772814,0.891008962,0.814469718,1.08504222,1.033534541,1.103192279,0.320927569,0.3759222,0.76628543,0.757776645,1.05062861,1.117120477,1.036887995,1.11172977,,,
