ID,Ref no.,Type,Type/Breed/Species,Collection,Documented age ,Estimated age,Sex,MC_GL,MC_Bd,MC_DD,MC_Bp,MC_SD,MC_Batf,MC_a,MC_b,MC_c,MC_d,MC_e,MC_f,MC_1,MC_2,MC_3,MC_4,MC_5,MC_6,MC_7,MC_8,MC_9,MC_10,MC_e1,MC_f4,MT_GL,MT_Bd,MT_DD,MT_Bp,MT_SD,MT_Batf,MT_a,MT_b,MT_c,MT_d,MT_e,MT_f,MT_1,MT_2,MT_3,MT_4,MT_5,MT_6,MT_7,MT_8,MT_9,MT_10,PH1_Anterior_GLpe,PH1_Anterior_Bp,PH1_Anterior_Dp,PH1_Anterior_Bd,PH1_Posterior_GLpe,PH1_Posterior_Bp,PH1_Posterior_Dp,PH1_Posterior_Bd,PH2_Anterior_GLpe,PH2_Anterior_Bp,PH2_Anterior_Dp,PH2_Anterior_Bd,PH2_Posterior_GLpe,PH2_Posterior_Bp,PH2_Posterior_Dp,PH2_Posterior_Bd
1494,,Non-draught,Jersey,Zooarchaeology Laboratory of the University of Sheffield,,6.3,Female,185,53.09,20.97,55.09,29.13,51.64,25.46,24.83,24.26,24.34,15.21,14.12,22.68,29.49,26.48,20.95,28.82,26.46,22.26,26.64,20.85,26.94,0.670634921,0.67398568,211,49.61,23.88,45.58,23.63,46.66,23.21,23.03,23.96,23.35,14.74,12.91,21.93,29.26,25.69,20.66,28.97,26.83,21.95,26.15,20.86,26.95,54.54,28.61,27.57,24.82,,,,,37.73,28.03,30.96,22.7,,,,
0078,,Non-draught,Unknown,Zooarchaeology Laboratory of the University of Sheffield,,,Female,180,59.23,21.81,59.94,33.21,54.19,27.58,27.27,27.59,26.56,17.69,15.41,24.26,31.38,27.95,22.87,30.87,27.56,24.04,27.85,22.59,28.31,0.729183842,0.673808483,231,56.75,27.08,55.59,30.29,51.01,27.54,26.64,27.09,25.97,17.03,14.75,25.02,34.97,30.13,24.38,35.2,31.38,26.47,30.89,22.94,32.54,63,30.83,34.2,27.65,62.13,29.95,36.2,27.05,42.83,30.51,33.22,24.33,42.95,30.55,32.46,23.29
0079,,Non-draught,Unknown,Zooarchaeology Laboratory of the University of Sheffield,,8.1,Female,191,59.32,22.3,59.13,35.11,53.63,28.13,27.72,26.89,26.33,18.01,16.55,24.7,32.47,28.9,23.71,31.51,28.77,25.53,27.65,24.22,29.52,0.729149798,0.698017714,218,54.97,27.98,51.83,33.25,52.4,25.62,25.37,25.28,24.49,16.13,13.94,23.66,32.16,27.47,22.7,31.7,29.36,24.79,28.76,21.63,30.34,56.59,32.97,29.47,25.53,,,,,,,,,38.15,29.44,31.85,22.05
76,Bbrtb3,Non-draught,Breitenburger,Museum für Haustierkunde Julius Kühn of the Martin Luther University of Halle-Wittenberg,,3.8,Female,222,62.39,24.16,66.18,33.38,53.27,30.47,28.14,28.46,27.41,17.9,17.3,25.29,34.04,30.22,24.76,33.56,31.32,26.23,29.92,25.13,31.37,0.70778964,0.698707593,254,58.02,29.34,55.26,29.89,54.06,27.8,26.75,26.6,26.49,18.38,16.21,26.44,34.49,30.52,25.25,34.53,31.44,27.31,30.99,25.03,32.32,62.15,34.15,32.94,30.61,65.79,31.43,33.34,29.64,42.28,30.65,34.04,24.96,42.06,31.59,33.86,23.45
220,Bhld25,Non-draught,Holländer,Museum für Haustierkunde Julius Kühn of the Martin Luther University of Halle-Wittenberg,,7.6,Female,229,69.82,29.03,75.57,43.37,63.71,32.75,31.89,33.64,31.67,19.05,18.75,29.58,38.31,34.54,27.92,36.1,34.07,31.03,34.96,28.13,35.15,0.644016227,0.671561605,260,65.62,34.75,60.13,37.91,65.25,31.47,28.95,31.9,30.22,18.95,16.88,29.07,36.95,33.12,27.18,37.08,34.03,30.78,34.11,26.95,35.34,,,,,,,,,,,,,,,,
134(5321),Bfrsb2,Non-draught,Holstein Friesian,Museum für Haustierkunde Julius Kühn of the Martin Luther University of Halle-Wittenberg,,7.6,Female,222,70.5,29.43,71.67,43.88,62.29,33.98,31.59,33.42,32.36,20.26,17.88,29.79,39.38,35.36,28.43,37.03,35.37,32.71,34.89,28.23,35.95,0.680093991,0.62891312,258,66.45,34.67,56.76,39.04,61.76,31.51,29.98,31.89,30.25,19.04,17.3,29.76,37.97,34.88,27.51,37.06,34.69,31.51,33.71,27.71,35.93,,,,,,,,,,,,,,,,
135(5321),Bfrsb3,Non-draught,Holstein Friesian,Museum für Haustierkunde Julius Kühn of the Martin Luther University of Halle-Wittenberg,,10.5,Female,,,,,,,,,,,,,,,,,,,,,,,,,256,63.25,34.11,58.59,38.53,58.51,30.35,28.52,30.21,29.51,18.77,17.24,29.34,39.47,34.72,28.3,39.74,36.76,30.17,35.53,27.83,37.23,61.31,36.51,36.47,30.05,,,,,,,,,,,,
285(5321),Bfrr4,Non-draught,Holstein Friesian,Museum für Haustierkunde Julius Kühn of the Martin Luther University of Halle-Wittenberg,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.59,34.72,36.04,26.14,,,,
398(5199),Bwma 6,Non-draught,Wilstermarscher   ,Museum für Haustierkunde Julius Kühn of the Martin Luther University of Halle-Wittenberg,,6.8,Female,,,,,,,,,,,,,,,,,,,,,,,,,251,58.43,30.61,55.27,33.37,52.63,28.28,26.14,28.65,27.38,18.12,14.89,27.15,35.78,32.57,26.34,36.16,33.34,27.36,32.59,26.04,33.62,63.14,34.22,34.61,29.98,64.61,30.07,36.44,29.44,42.87,32.75,34.49,28.55,46.65,31.91,36.16,23.5
216(5246),Bhld21,Non-draught,Holländer,Museum für Haustierkunde Julius Kühn of the Martin Luther University of Halle-Wittenberg,,5.1,Male,214,71.59,27.37,81.27,45.93,62.73,34.88,32.44,33.63,31.9,21.86,19.63,29.04,38.76,35.29,28.24,37.93,35.39,31.92,36.11,28.52,36.17,0.752754821,0.695113314,241,66.05,34.1,64.02,40.36,59.46,31.19,30.69,31.01,31.19,19.3,18.64,29.39,38.48,35.26,28.1,37.87,35.65,29.8,35.49,29.4,36.65,,,,,,,,,,,,,,,,
