Side,PCA_Type,PH2_Bp_GLpe,PH2_Bd_GLpe,PH2_BP_BD,PH2_Dp_Glpe,PH2_Bp_Dp
A,Non-draught cattle,0.742910151,0.601643255,1.234801762,0.820567188,0.905361757
A,Non-draught cattle,0.712351156,0.568059771,1.254007398,0.775624562,0.918422637
A,Non-draught cattle,0.724929044,0.590350047,1.227964744,0.805108798,0.900411281
A,Non-draught cattle,0.834816062,0.62851647,1.328232594,0.86655446,0.963374029
A,Non-draught cattle,0.763937485,0.665966877,1.147110333,0.804525309,0.949550594
A,Non-draught cattle,0.694167,0.551538154,1.258601956,0.739312825,0.938935423
A,Non-draught cattle,0.737730061,0.556173313,1.326439159,0.789877301,0.933980583
A,Non-draught cattle,0.715252887,0.564317005,1.267466478,0.762644365,0.937859008
A,Non-draught cattle,0.765774156,0.643073341,1.190803765,0.915250291,0.836682778
A,Non-draught cattle,0.763383546,0.555272306,1.374791319,0.770799537,0.990378833
A,Non-draught cattle,0.808678058,0.594874101,1.359410431,0.869829137,0.929697596
A,Non-draught cattle,0.746841055,0.638661051,1.16938563,0.916648193,0.814752116
A,Non-draught cattle,0.75733945,0.583027523,1.298977183,0.806651376,0.938868354
A,Non-draught cattle,0.679231338,0.524513427,1.294974166,0.77827051,0.872744539
A,Non-draught cattle,0.73686747,0.492771084,1.495354523,0.755180723,0.97574984
A,Non-draught cattle,0.816550117,0.572027972,1.427465363,0.918648019,0.888860695
A,Non-draught cattle,0.734878587,0.590728477,1.244020927,0.809050773,0.908321965
A,Non-draught cattle,0.868386068,0.661792077,1.312173564,0.87795799,0.989097517
A,Non-draught cattle,0.837634163,0.56748116,1.476056338,0.879424526,0.952479875
A,Non-draught cattle,0.78002987,0.60209089,1.295535082,0.861531897,0.905398712
A,Non-draught cattle,0.74054683,0.600155129,1.233925687,0.876284662,0.845098473
A,Non-draught cattle,0.74873631,0.560025274,1.336968785,0.846461668,0.884548395
A,Non-draught cattle,0.73080418,0.509995457,1.432962138,0.825988187,0.884763476
A,Non-draught cattle,0.75428195,0.572463768,1.317606444,0.879007466,0.85810642
A,Non-draught cattle,0.759463552,0.542288557,1.40047866,0.813540991,0.933528317
A,Non-draught cattle,0.768765466,0.569425351,1.350072429,0.843002475,0.911937378
A,Non-draught cattle,0.785694091,0.571388182,1.375061851,0.878428046,0.894431928
A,Non-draught cattle,0.659399957,0.519749622,1.268687708,0.809194906,0.814883969
A,Non-draught cattle,0.710693359,0.499755859,1.422081094,0.789794922,0.89984544
A,Non-draught cattle,0.786247747,0.559876384,1.404323827,0.856811743,0.917643523
A,Non-draught cattle,0.729986732,0.532286599,1.371416701,0.772888103,0.944492132
A,Non-draught cattle,0.802634674,0.561750176,1.42881072,0.822629969,0.975693452
A,Non-draught cattle,0.745836746,0.577395577,1.291725768,0.803439803,0.928304451
A,Non-draught cattle,0.714535137,0.541030118,1.320693828,0.832387604,0.858416361
A,Non-draught cattle,0.741362093,0.609946075,1.215455141,0.847613341,0.87464656
A,Non-draught cattle,0.723811957,0.533214103,1.357450886,0.790240164,0.915939218
A,Non-draught cattle,0.74037353,0.568595804,1.302108678,0.81577127,0.907574901
A,Non-draught cattle,0.72012811,0.537324464,1.340210912,0.824340971,0.873580395
A,Non-draught cattle,0.777613412,0.544625247,1.427795383,0.884368836,0.879286312
A,Non-draught cattle,0.692425013,0.538637519,1.285512034,0.812150483,0.85258216
A,Non-draught cattle,0.702500644,0.588553751,1.193604906,0.780355762,0.900231252
A,Non-draught cattle,0.701954048,0.529740176,1.325091204,0.829933434,0.845795602
A,Non-draught cattle,0.593869732,0.459259259,1.293103448,0.773690932,0.767580059
A,Non-draught cattle,0.736019242,0.566646623,1.298903431,0.780517138,0.942989214
A,Non-draught cattle,0.782107152,0.679056652,1.151755379,0.849269418,0.920917597
A,Non-draught cattle,0.74090801,0.522224863,1.418752845,0.870454005,0.851174222
A,Non-draught cattle,0.667013095,0.505300353,1.320032908,0.773643733,0.862170876
A,Non-draught cattle,0.715110906,0.500231054,1.429561201,0.839417745,0.85191302
A,Non-draught cattle,0.867806795,0.668361451,1.298409405,0.938525537,0.924649101
A,Non-draught cattle,0.781327334,0.565354331,1.38201353,0.835995501,0.934607104
A,Non-draught cattle,0.799684543,0.641561514,1.246465888,0.832413249,0.960682141
A,Non-draught cattle,0.69589469,0.520749665,1.336332476,0.853413655,0.815424837
A,Non-draught cattle,0.767282197,0.574573864,1.33539349,0.813210227,0.943522562
A,Non-draught cattle,0.771601083,0.61232563,1.260115607,0.812825318,0.949282787
A,Non-draught cattle,0.689568496,0.506284039,1.362019032,0.788856305,0.874137015
A,Non-draught cattle,0.745192308,0.593635531,1.255302738,0.831501832,0.896200441
A,Non-draught cattle,0.727942925,0.497265161,1.463892874,0.805231867,0.904016539
A,Non-draught cattle,0.795616718,0.678389399,1.172802404,0.859327217,0.925860024
A,Non-draught cattle,0.704566463,0.550748752,1.279288352,0.729524866,0.96578814
A,Non-draught cattle,0.733017037,0.595859392,1.230184582,0.834375674,0.878521582
A,Non-draught cattle,0.686868687,0.528546333,1.299543,0.813131313,0.844720497
A,Non-draught cattle,0.751007871,0.646189288,1.162210339,0.800729507,0.937904579
A,Non-draught cattle,0.698808473,0.565313327,1.236143638,0.746248897,0.936428149
A,Non-draught cattle,0.701109937,0.535412262,1.309476802,0.816067653,0.859132124
A,Non-draught cattle,0.731467474,0.515380736,1.41927593,0.81265759,0.900093081
A,Non-draught cattle,0.737734706,0.619018776,1.191780822,0.778921866,0.947122862
A,Non-draught cattle,0.780719483,0.617825384,1.26365718,0.863783347,0.903837155
A,Non-draught cattle,0.754196411,0.605247926,1.246094995,0.834651746,0.903606103
A,Non-draught cattle,0.687609457,0.524737303,1.310387985,0.73795972,0.931770988
A,Non-draught cattle,0.7882426,0.523908094,1.504543659,0.861933347,0.914505283
A,Non-draught cattle,0.799703539,0.617380026,1.295318127,0.777098388,1.029089175
A,Non-draught cattle,0.669089441,0.535634969,1.249151904,0.776297194,0.86189857
A,Non-draught cattle,0.703083521,0.56258934,1.249727768,0.803757402,0.874745935
A,Non-draught cattle,0.688015069,0.531433953,1.294638901,0.792088533,0.868608799
A,Non-draught cattle,0.744568298,0.583223125,1.276643991,0.841488759,0.884822631
A,Non-draught cattle,0.771800045,0.586639767,1.315628582,0.871105133,0.886001029
A,Non-draught cattle,0.731782946,0.546843854,1.338193601,0.840310078,0.870848708
A,Non-draught cattle,0.712288876,0.582799456,1.22218521,0.819840808,0.86881364
A,Chillingham,0.640493697,0.582195378,1.100135318,0.769170168,0.832707409
A,Chillingham,0.707645765,0.641364136,1.103344768,0.796479648,0.888466851
A,Chillingham,0.751664817,0.583518313,1.288159772,0.788568257,0.95320197
A,Chillingham,0.768950247,0.65511852,1.173757455,0.839802032,0.915632754
A,Chillingham,0.741959244,0.668057943,1.110621095,0.811932237,0.913819171
A,Chillingham,0.761202039,0.631875503,1.204670913,0.81110813,0.938471717
A,Chillingham,0.697602475,0.613044599,1.137931034,0.782160351,0.891891892
A,Chillingham,0.735194585,0.61534123,1.194775435,0.762267343,0.964483907
A,Chillingham,0.745263771,0.617604197,1.206701274,0.793063247,0.939728041
A,Chillingham,0.67498549,0.551944283,1.222923239,0.772489843,0.873779113
A,Chillingham,0.739872685,0.59056713,1.252817246,0.79224537,0.933893353
A,Chillingham,0.734793187,0.631792376,1.163029525,0.772370911,0.951347567
A,Chillingham,0.716198815,0.576616019,1.242072354,0.78470255,0.912701017
A,Chillingham,0.747186385,0.63436728,1.177845089,0.781498765,0.956094134
A,Chillingham,0.700776855,0.572997589,1.223001403,0.791320654,0.885578876
A,Chartley,0.734511477,0.620759699,1.183246073,0.87101361,0.843283582
A,Chartley,0.768049507,0.59935824,1.281453155,0.884024754,0.868809956
A,Chartley,0.834976425,0.716888127,1.164723468,0.876982426,0.952101662
A,Non-draught cattle,0.799253905,0.604802984,1.32151118,0.806481697,0.991037872
