ID,Type,Age,Sex,Type/Breed/Species,Side,PH1_Anterior_GLpe,PH1_Anterior_Bp,PH1_Anterior_Dp,PH1_Anterior_Bd,PH1_Bp_Dp,PH1_Bd_Glpe
1494,Non-draught,6.3,Female,Jersey,A,54.54,28.61,27.57,24.82,1.037722162,0.455078841
0078,Non-draught,,Female,Unknown,A,63,30.83,34.2,27.65,0.901461988,0.438888889
0079,Non-draught,8.1,Female,Unknown,A,56.59,32.97,29.47,25.53,1.118764846,0.451139777
76,Non-draught,3.8,Female,Breitenburger,A,62.15,34.15,32.94,30.61,1.036733455,0.492518101
135(5321),Non-draught,10.5,Female,Holstein Friesian,A,61.31,36.51,36.47,30.05,1.001096792,0.490132115
398(5199),Non-draught,6.8,Female,Wilstermarscher   ,A,63.14,34.22,34.61,29.98,0.98873158,0.474817865
218(5261),Non-draught,8.7,Female,Holländer,A,68.22,36.15,34.57,30.32,1.045704368,0.444444444
1035,Non-draught,,Male,Unknown,A,75.3,41.22,39.25,34.25,1.050191083,0.454847278
83(5273),Non-draught,17,Female,Butjadinger,A,67.31,38.16,37.24,32.99,1.024704619,0.490120339
770(5341),Non-draught,18.8,Female,Holstein Friesian crossbreed,A,62.14,33.31,34.02,31.02,0.979129924,0.499195365
14,Non-draught,,Female,Angeln,A,63.76,33.57,32.83,28.23,1.022540359,0.442754078
22(5353),Non-draught,9.5,Female,Ansbach-Triesdorfer,A,62.44,39.09,37.23,29.61,1.04995971,0.474215247
294(5351),Non-draught,13,Male,Podolian,A,62.7,37.54,35.88,29.64,1.046265329,0.472727273
293(5351),Non-draught,7.6,Female,Podolian,A,63.34,34.37,33.69,27.61,1.020184031,0.435901484
388(5189),Non-draught,10.3,Female,Westerwälder,A,57.66,30.01,30.62,26.94,0.98007838,0.467221644
368(5192),Non-draught,10.8,Female,Westerwälder,A,,31.44,,25.2,,
353(5250),Non-draught,5.6,Female,Simmental,A,67.6,36.09,35.69,29.32,1.011207621,0.433727811
126(5274),Non-draught,5,Female,Fribourgeoise,A,64.92,35.96,34.78,30.5,1.033927545,0.469808996
188(5286),Non-draught,6,Female,Harzer,A,58.08,32.56,33.59,29.36,0.969336112,0.505509642
323(5326),Non-draught,,Female,Schwyzer,A,63.24,37.43,36.98,29.71,1.01216874,0.469797596
302(532),Non-draught,,Female,Prättigauer,A,66.87,37.19,36.85,33.01,1.009226594,0.493644385
303(5352),Non-draught,,Female,Prättigauer,A,72.21,40.92,39.49,30.23,1.036211699,0.418640078
351(5353),Non-draught,7.25,Female,Simmental,A,67.69,39.43,35.76,29.07,1.102628635,0.429457822
381(5353),Non-draught,19.6,Female,Vogelsberg,A,65.02,33.76,34.22,29.46,0.986557569,0.453091357
329(5232),Non-draught,6,Female,Shorthorn,A,65.11,37.12,34.39,28.39,1.079383542,0.436031332
335(5292),Non-draught,7.2,Female,Shorthorn,A,64.81,35.07,34.88,29.97,1.005447248,0.462428638
886,Non-draught,7.8,Female,Breitenburger,A,54.99,28.89,30.54,23.96,0.945972495,0.435715585
289,Non-draught,7.3,Female,Kerry,A,49.01,28.85,30.33,24.95,0.951203429,0.50907978
912,Non-draught,,Female,Unknown,A,57.56,29.47,29.87,25.94,0.986608637,0.450660181
726,Non-draught,13.2,Female,Galloway,A,53.88,31.13,30.81,25.91,1.010386238,0.480883445
5353,Non-draught,5.5,Male,Jersey,A,63.25,34.61,32.09,30.61,1.078529137,0.483952569
