ID,Type,Age,Sex,PCA_Type,Type/Breed/Species,MC_GL,MC_Bd,MC_DD,MC_Bp,MC_SD,MC_Batf,MC_a,MC_b,MC_c,MC_d,MC_e,MC_f,MC_1,MC_2,MC_3,MC_4,MC_5,MC_6,MC_7,MC_8,MC_9,MC_10,MC_e1,MC_f4,MC_a2,MC_b5,MC_a3,MC_b6,MC_ae2,MC_a8,MC_b10,MC_c8,MC_d10,MC_SDDD,MC_c7,MC_d9,MC_ae3,MC_ae7,MC_c2,MC_d5,MC_a1,MC_b4,MC_a7,MC_b9,MC_BpGL,MC_BatfGL,MC_BdGL
1494,Non-draught,6.3,Female,Non-draught cattle,Jersey,185,53.09,20.97,55.09,29.13,51.64,25.46,24.83,24.26,24.34,15.21,14.12,22.68,29.49,26.48,20.95,28.82,26.46,22.26,26.64,20.85,26.94,0.670634921,0.67398568,0.863343506,0.861554476,0.961480363,0.938397581,0.347575449,0.955705706,0.921677803,0.910660661,0.903489235,1.389127325,1.08984726,1.167386091,0.387084592,0.460467206,0.822651746,0.844552394,1.122574956,1.185202864,1.143755615,1.19088729,0.297783784,0.279135135,0.286972973
0078,Non-draught,,Female,Non-draught cattle,Unknown,180,59.23,21.81,59.94,33.21,54.19,27.58,27.27,27.59,26.56,17.69,15.41,24.26,31.38,27.95,22.87,30.87,27.56,24.04,27.85,22.59,28.31,0.729183842,0.673808483,0.87890376,0.883381924,0.986762075,0.989477504,0.315168897,0.990305206,0.963263864,0.990664273,0.938184387,1.522696011,1.147670549,1.175741479,0.353846154,0.411397671,0.879222435,0.860382248,1.136850783,1.19239178,1.147254576,1.207171315,0.333,0.301055556,0.329055556
0079,Non-draught,8.1,Female,Non-draught cattle,Unknown,191,59.32,22.3,59.13,35.11,53.63,28.13,27.72,26.89,26.33,18.01,16.55,24.7,32.47,28.9,23.71,31.51,28.77,25.53,27.65,24.22,29.52,0.729149798,0.698017714,0.866338158,0.879720724,0.973356401,0.96350365,0.311672313,1.017359855,0.93902439,0.972513562,0.891937669,1.574439462,1.053270662,1.087118084,0.35017301,0.396396396,0.828149061,0.835607744,1.138866397,1.169126951,1.101840971,1.144508671,0.309581152,0.28078534,0.310575916
76,Non-draught,3.8,Female,Non-draught cattle,Breitenburger,222,62.39,24.16,66.18,33.38,53.27,30.47,28.14,28.46,27.41,17.9,17.3,25.29,34.04,30.22,24.76,33.56,31.32,26.23,29.92,25.13,31.37,0.70778964,0.698707593,0.895123384,0.838498212,1.008272667,0.898467433,0.369271445,1.018382353,0.897035384,0.951203209,0.873764743,1.381622517,1.085017156,1.090728213,0.415949702,0.479222265,0.836075206,0.816746126,1.204824041,1.136510501,1.161646969,1.119777159,0.298108108,0.239954955,0.281036036
220,Non-draught,7.6,Female,Non-draught cattle,Holländer,229,69.82,29.03,75.57,43.37,63.71,32.75,31.89,33.64,31.67,19.05,18.75,29.58,38.31,34.54,27.92,36.1,34.07,31.03,34.96,28.13,35.15,0.644016227,0.671561605,0.854868181,0.883379501,0.948176028,0.936014089,0.357608979,0.936784897,0.907254623,0.962242563,0.900995733,1.493971753,1.08411215,1.125844294,0.396641575,0.441508218,0.878099713,0.877285319,1.107167005,1.142191977,1.055430229,1.133665126,0.33,0.278209607,0.30489083
134(5321),Non-draught,7.6,Female,Non-draught cattle,Holstein Friesian,222,70.5,29.43,71.67,43.88,62.29,33.98,31.59,33.42,32.36,20.26,17.88,29.79,39.38,35.36,28.43,37.03,35.37,32.71,34.89,28.23,35.95,0.680093991,0.62891312,0.862874556,0.853092087,0.960972851,0.893129771,0.348400203,0.973918028,0.878720445,0.957867584,0.900139082,1.490995583,1.0217059,1.146298264,0.38800905,0.419443595,0.848654139,0.873886038,1.140651225,1.111150193,1.038826047,1.119022317,0.322837838,0.280585586,0.317567568
216(5246),Non-draught,5.1,Male,Non-draught cattle,Holländer,214,71.59,27.37,81.27,45.93,62.73,34.88,32.44,33.63,31.9,21.86,19.63,29.04,38.76,35.29,28.24,37.93,35.39,31.92,36.11,28.52,36.17,0.752754821,0.695113314,0.899896801,0.855259689,0.988381978,0.91664312,0.335913313,0.965937413,0.896875864,0.931320964,0.881946364,1.678114724,1.053571429,1.118513324,0.368943043,0.407894737,0.867647059,0.841022937,1.201101928,1.148725212,1.09273183,1.137447405,0.379766355,0.293130841,0.33453271
214(5260),Non-draught,3.3,Female,Non-draught cattle,Holländer,220,67.76,24.61,71.95,43.11,61.04,32.55,31.04,32.66,30.42,19.73,18.15,30.29,37.07,35.15,27.35,36.98,33.39,31.84,33.86,26.56,34.71,0.651370089,0.663619744,0.878068519,0.839372634,0.926031294,0.929619647,0.345832209,0.961311282,0.894266782,0.964559953,0.876404494,1.75172694,1.025753769,1.145331325,0.364722617,0.402638191,0.881035878,0.822606814,1.074612083,1.134917733,1.022298995,1.168674699,0.327045455,0.277454545,0.308
242(5261),Non-draught,5,Female,Non-draught cattle,Jeverländer,224,67.68,25.94,68.04,41.51,55.96,32.37,32.01,31.93,31.72,19.97,20.07,29.4,38.29,34.24,27.79,37.67,34.96,32.12,34.19,28.13,34.49,0.679251701,0.722202231,0.845390441,0.84974781,0.945385514,0.915617849,0.323844346,0.946768061,0.9280951,0.933898801,0.919686866,1.600231303,0.994084682,1.127621756,0.362149533,0.386052304,0.83389919,0.842049376,1.101020408,1.151853185,1.007783313,1.137931034,0.30375,0.249821429,0.302142857
397(5280),Non-draught,,Female,Non-draught cattle,Wilstermarscher,233,73.62,28.76,72.95,45.24,62.31,35.67,34.36,33.74,35.08,22.41,21.95,30.06,39.93,35.15,27.55,38.61,34.87,31.32,35.57,28.88,35.31,0.745508982,0.796733212,0.893313298,0.88992489,1.014793741,0.985374247,0.332081142,1.002811358,0.97309544,0.948552151,0.993486265,1.573018081,1.077266922,1.21468144,0.377240398,0.423371648,0.844978713,0.908572909,1.186626747,1.247186933,1.138888889,1.189750693,0.313090129,0.267424893,0.315965665
213(5288),Non-draught,8.1,Female,Non-draught cattle,Holländer,211,66.89,26.21,68.12,39.85,52.29,32.78,30.56,32.42,30.94,19.87,18.31,28.16,36.45,32.61,25.42,34.9,32.02,28.3,32.11,26.12,32.67,0.705610795,0.720298977,0.899314129,0.875644699,1.005213125,0.954403498,0.354183813,1.020865774,0.935414754,1.009654313,0.94704622,1.520412056,1.145583039,1.184532925,0.395890831,0.456183746,0.889437586,0.886532951,1.1640625,1.20220299,1.158303887,1.169984686,0.322843602,0.247819905,0.317014218
74(5298),Non-draught,9.6,Female,Non-draught cattle,Breitenburger,209,64.29,26.93,65.95,40.03,54.26,30.62,30.06,30.87,29.61,18.11,17.56,27.11,35.74,32.51,25.25,35.74,33.09,27.46,32.46,24.45,33.81,0.668019181,0.695445545,0.856743145,0.841074426,0.941864042,0.90843155,0.35002798,0.943314849,0.889086069,0.951016636,0.875776398,1.486446342,1.124180626,1.211042945,0.384804675,0.455571741,0.863738109,0.828483492,1.129472519,1.19049505,1.115076475,1.229447853,0.315550239,0.259617225,0.307607656
770(5341),Non-draught,18.8,Female,Non-draught cattle,Holstein Friesian crossbreed,211,61.47,24.67,70.18,36.33,52.99,30.27,28.08,29.27,28.05,18.62,17.75,28.7,36.65,32.75,26.84,36.83,34.76,29.54,32.78,25.85,33.13,0.648780488,0.661326379,0.825920873,0.762421939,0.924274809,0.807825086,0.31787176,0.92342892,0.847570178,0.892922514,0.846664654,1.472638833,0.990859851,1.085106383,0.355725191,0.394380501,0.798635744,0.761607385,1.054703833,1.046199702,1.024712255,1.086266925,0.332606635,0.251137441,0.291327014
78(5350),Non-draught,4,Female,Non-draught cattle,Breitenburger,224,63.15,26.74,67.98,36.96,54.13,30.62,29.1,28.7,30.09,19.27,17.55,28.63,37.7,34.64,27.33,36.1,34.49,28.85,34.27,27.71,33.94,0.673070206,0.642151482,0.812201592,0.806094183,0.883949192,0.843722818,0.301061008,0.893492851,0.857395404,0.837467172,0.886564526,1.382198953,0.994800693,1.085889571,0.327655889,0.393414211,0.76127321,0.833518006,1.06950751,1.064763996,1.06135182,1.050162396,0.303482143,0.241651786,0.281919643
19(5352),Non-draught,10.5,Female,Non-draught cattle,Angeln,214,59.07,24.46,60.81,34.68,50.7,28.44,27.09,27.96,26.22,16.73,16.17,25.6,33.67,29.71,24.23,32.85,29.5,26.33,29.42,24.04,29.46,0.653515625,0.667354519,0.844668845,0.824657534,0.95725345,0.918305085,0.347787348,0.966689327,0.919551935,0.950373895,0.890020367,1.41782502,1.06190657,1.090682196,0.394143386,0.44473984,0.83041283,0.798173516,1.1109375,1.118035493,1.080136726,1.12687188,0.284158879,0.236915888,0.276028037
14,Non-draught,,Female,Non-draught cattle,Angeln,215,60.63,26.44,65.85,35.7,53.11,29.37,28.05,28.42,27.9,17.87,17.4,25.57,35.17,30.91,25.07,35.14,32.02,26.47,31.14,24.95,31.39,0.698865858,0.694056641,0.835086722,0.798235629,0.950177936,0.876014991,0.326983224,0.943159923,0.893596687,0.912652537,0.888818095,1.350226929,1.073668304,1.118236473,0.372047881,0.434454099,0.808075064,0.793966989,1.148611654,1.118867172,1.10955799,1.124248497,0.30627907,0.247023256,0.282
22(5353),Non-draught,9.5,Female,Non-draught cattle,Ansbach-Triesdorfer,220,68.45,27.5,72.83,40.27,62.04,33.64,30.88,32.44,30.42,20.33,18.59,30.47,38.64,35.26,26.77,37.22,35.05,31.37,35.88,27.76,35.53,0.667213653,0.694434068,0.870600414,0.829661472,0.954055587,0.881027104,0.344461698,0.937569677,0.869124683,0.904124861,0.856177878,1.464363636,1.034109021,1.095821326,0.377481566,0.424290724,0.839544513,0.817302526,1.104036757,1.153530071,1.072362129,1.112391931,0.331045455,0.282,0.311136364
294(5351),Non-draught,13,Male,Non-draught cattle,Podolian,212,66.55,26.42,76.02,45.23,60.81,32.07,30.8,30.95,30.71,19.41,18.87,28.22,36.17,31.81,26.83,35.27,32.92,28.89,32.84,26.82,33.31,0.687810064,0.703317182,0.886646392,0.873263397,1.00817353,0.935601458,0.350013824,0.976552984,0.924647253,0.942448234,0.921945362,1.711960636,1.07130495,1.145041014,0.397988054,0.438213915,0.855681504,0.870711653,1.136428065,1.147968692,1.11007269,1.148396719,0.358584906,0.286839623,0.313915094
293(5351),Non-draught,7.6,Female,Non-draught cattle,Podolian,212,61.96,23.66,64.03,37.27,51.44,29.07,28.67,29.45,27.58,17.86,17.79,26.46,34.79,31.29,25.4,34.55,31.83,27.31,31.37,25.44,32.22,0.674981104,0.700393701,0.835584938,0.829811867,0.929050815,0.900722589,0.322219028,0.926681543,0.889819988,0.938795027,0.855990068,1.57523246,1.078359575,1.084119497,0.358261425,0.410472354,0.846507617,0.798263386,1.098639456,1.128740157,1.064445258,1.126965409,0.302028302,0.242641509,0.292264151
301(5187),Non-draught,6.7,Female,Non-draught cattle,Prätigauer,223,70.27,27.93,76.75,41.49,61.77,34.14,32.49,33.78,32.94,21.28,18.84,31.32,41.83,36.72,28.58,40.31,36.4,32.18,36.8,29.34,37.24,0.679438059,0.659202239,0.81616065,0.806003473,0.929738562,0.892582418,0.307434855,0.927717391,0.87244898,0.917934783,0.88453276,1.485499463,1.049720323,1.122699387,0.350217865,0.399627098,0.807554387,0.817166956,1.090038314,1.136808957,1.060907396,1.107361963,0.344170404,0.276995516,0.315112108
388(5189),Non-draught,10.3,Female,Non-draught cattle,Westerwälder,201,58.63,22.72,56.63,32.49,46.83,28.09,27.11,28.04,26.67,17.41,15.91,24.61,31.85,29.51,23.32,32.31,29.56,25.62,29.07,23.21,29.81,0.707436002,0.682246998,0.881946625,0.839059115,0.951880718,0.917117727,0.335321821,0.96628827,0.909426367,0.964568283,0.894666219,1.430017606,1.094457455,1.149073675,0.361911217,0.416861827,0.880376766,0.82544104,1.141405933,1.162521441,1.096409055,1.168031021,0.281741294,0.232985075,0.291691542
368(5192),Non-draught,10.8,Female,Non-draught cattle,Westerwälder,199,58.01,21.92,58.44,31.39,49.5,27.56,26.75,26.88,25.66,16.94,16.28,24.91,31.82,28.87,23.23,31.48,28.43,24.53,28.78,23.01,28.81,0.680048173,0.700817908,0.866121936,0.84974587,0.954624177,0.940907492,0.333752357,0.957609451,0.92849705,0.933981932,0.890662964,1.432025547,1.09580106,1.115167319,0.367855906,0.432939258,0.844751728,0.815120712,1.106382979,1.151528196,1.123522218,1.162538027,0.293668342,0.248743719,0.291507538
126(5274),Non-draught,5,Female,Non-draught cattle,Fribourgeoise,214,67.03,26.4,72.88,37.94,61.68,32.5,31.16,32.68,30.98,19.85,18.43,26.99,36.89,32.44,25.44,36.55,33.37,28.84,33.56,29.51,34.44,0.735457577,0.724449686,0.88099756,0.85253078,1.001849568,0.93377285,0.342911358,0.968414779,0.904761905,0.973778308,0.899535424,1.437121212,1.133148405,1.049813623,0.389950678,0.438626907,0.885876931,0.847606019,1.204149685,1.224842767,1.126907074,1.05591325,0.340560748,0.288224299,0.313224299
315(290),Non-draught,5.2,Female,Non-draught cattle,Silesian Red,224,67.28,26.87,71.06,37.51,57.81,31.81,29.08,32.29,30.37,19.71,17.85,30.25,39.89,36.03,27.65,37.89,35.15,27.79,36.13,27.53,36.08,0.651570248,0.64556962,0.797442968,0.767484824,0.882875382,0.827311522,0.303334169,0.880431774,0.805986696,0.893717133,0.841740576,1.395980648,1.161928751,1.103160189,0.335831252,0.43540842,0.809476059,0.801530747,1.051570248,1.051717902,1.144656351,1.056302216,0.317232143,0.258080357,0.300357143
121(293),Non-draught,,Female,Non-draught cattle,Egerländer   ,221,62.85,27.56,65.16,39.64,57.44,29.71,27.98,30.86,29.37,18.48,16.73,28.04,36.05,32.89,26.33,34.42,32.06,28.86,31.48,25.61,31.87,0.659058488,0.635396886,0.824133148,0.812899477,0.903314077,0.872738615,0.311511789,0.943773825,0.877941638,0.980304956,0.921556323,1.438316401,1.069300069,1.146817649,0.341441168,0.389119889,0.856033287,0.853282975,1.059557775,1.06266616,1.029452529,1.092541976,0.294841629,0.259909502,0.28438914
322(303),Non-draught,12,Female,Non-draught cattle,Schwyzer,222,69.62,28.41,73.66,40.57,61.23,33.56,32.28,33.29,32.11,22.35,20.53,29.85,39.81,35.45,28.64,38.85,35.58,30.88,35.35,28.93,35.84,0.748743719,0.716829609,0.84300427,0.830888031,0.946685472,0.907251265,0.281587541,0.949363508,0.900669643,0.941725601,0.895926339,1.428018303,1.078044041,1.109920498,0.316220028,0.363018135,0.836222055,0.826512227,1.124288107,1.127094972,1.086787565,1.115796751,0.331801802,0.275810811,0.313603604
323(5326),Non-draught,,Female,Non-draught cattle,Schwyzer,209,67.56,26.59,73.52,38.31,59.63,33.09,31.14,32.83,31.42,20.95,18.25,28.56,39.53,33.35,26.99,38.42,34.29,29.69,33.97,27.26,34.69,0.733543417,0.676176362,0.837085758,0.810515357,0.992203898,0.908136483,0.307108525,0.97409479,0.897665033,0.966440977,0.905736523,1.440767206,1.105759515,1.152604549,0.364017991,0.408891883,0.830508475,0.817803227,1.158613445,1.153760652,1.114516672,1.142333089,0.351770335,0.285311005,0.323253589
