ID,Type,Age,Sex,MT_GL,MT_Bd,MT_DD,MT_Bp,MT_SD,MT_Batf,MT_a,MT_b,MT_c,MT_d,MT_e,MT_f,MT_1,MT_2,MT_3,MT_4,MT_5,MT_6,MT_7,MT_8,MT_9,MT_10,MT_e1,MT_f4,MT_Bd_GL
1494,Non-draught,6.3,Female,211,49.61,23.88,45.58,23.63,46.66,23.21,23.03,23.96,23.35,14.74,12.91,21.93,29.26,25.69,20.66,28.97,26.83,21.95,26.15,20.86,26.95,0.672138623,0.624878993,0.235118483
0078,Non-draught,,Female,231,56.75,27.08,55.59,30.29,51.01,27.54,26.64,27.09,25.97,17.03,14.75,25.02,34.97,30.13,24.38,35.2,31.38,26.47,30.89,22.94,32.54,0.680655476,0.605004102,0.245670996
0079,Non-draught,8.1,Female,218,54.97,27.98,51.83,33.25,52.4,25.62,25.37,25.28,24.49,16.13,13.94,23.66,32.16,27.47,22.7,31.7,29.36,24.79,28.76,21.63,30.34,0.681741336,0.614096916,0.252155963
76,Non-draught,3.8,Female,254,58.02,29.34,55.26,29.89,54.06,27.8,26.75,26.6,26.49,18.38,16.21,26.44,34.49,30.52,25.25,34.53,31.44,27.31,30.99,25.03,32.32,0.69515885,0.641980198,0.228425197
220,Non-draught,7.6,Female,260,65.62,34.75,60.13,37.91,65.25,31.47,28.95,31.9,30.22,18.95,16.88,29.07,36.95,33.12,27.18,37.08,34.03,30.78,34.11,26.95,35.34,0.651874785,0.621044886,0.252384615
134(5321),Non-draught,7.6,Female,258,66.45,34.67,56.76,39.04,61.76,31.51,29.98,31.89,30.25,19.04,17.3,29.76,37.97,34.88,27.51,37.06,34.69,31.51,33.71,27.71,35.93,0.639784946,0.628862232,0.25755814
135(5321),Non-draught,10.5,Female,256,63.25,34.11,58.59,38.53,58.51,30.35,28.52,30.21,29.51,18.77,17.24,29.34,39.47,34.72,28.3,39.74,36.76,30.17,35.53,27.83,37.23,0.639740968,0.609187279,0.247070313
285(5321),Non-draught,,Female,,,,,,,,,,,,,,,,,,,,,,,,,
398(5199),Non-draught,6.8,Female,251,58.43,30.61,55.27,33.37,52.63,28.28,26.14,28.65,27.38,18.12,14.89,27.15,35.78,32.57,26.34,36.16,33.34,27.36,32.59,26.04,33.62,0.667403315,0.565299924,0.232788845
216(5246),Non-draught,5.1,Male,241,66.05,34.1,64.02,40.36,59.46,31.19,30.69,31.01,31.19,19.3,18.64,29.39,38.48,35.26,28.1,37.87,35.65,29.8,35.49,29.4,36.65,0.656685948,0.663345196,0.27406639
214(5260),Non-draught,3.3,Female,,,,,,,,,,,,,,,,,,,,,,,,,
218(5261),Non-draught,8.7,Female,,,,,,,,,,,,,,,,,,,,,,,,,
242(5261),Non-draught,5,Female,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Non-draught,,Male,,,,,,,,,,,,,,,,,,,,,,,,,
83(5273),Non-draught,17,Female,256,68.23,34.82,60.15,40.61,61.71,32.64,31.42,32.45,31.5,21.61,18.87,29.89,39.15,34.68,28.08,38.89,35.46,31.09,34.8,27.52,36.87,0.722984276,0.672008547,0.266523438
397(5280),Non-draught,,Female,263,69.14,32.57,56.95,40.61,58.82,34.5,31.41,33.41,31.26,22.24,18.04,30.37,39.55,34.82,27.98,39.1,35.42,31.72,35.23,28.25,37.13,0.732301613,0.644746247,0.262889734
213(5288),Non-draught,8.1,Female,248,62.91,33.29,57.87,37.73,57.91,30.16,29.34,29.64,28.13,18.78,17.54,27.58,36.37,32.63,25.5,35.68,32.93,28.65,32.31,25.64,33.98,0.680928209,0.687843137,0.253669355
74(5298),Non-draught,9.6,Female,,61.54,31.46,,33.49,53.65,28.64,28.3,29.18,28.35,17.97,16.46,26.4,35.78,31.6,24.82,35.01,32.77,26.5,31.95,25.16,34.26,0.680681818,0.663174859,
770(5341),Non-draught,18.8,Female,244,60.06,31.85,53.35,30.95,55.04,28.43,27.68,28.35,27.68,18.68,17.57,28.89,37.17,33.38,27.39,37.75,35.59,29.05,33.04,27.97,35.31,0.646590516,0.641474991,0.246147541
182(5343),Non-draught,,Female,246,57.74,29.19,50.6,33.33,49.21,28.01,26.25,27.83,25.78,17.96,14.88,25.31,33.46,29.87,23.54,32.59,30.25,26.43,29.56,23.31,30.95,0.709600948,0.632115548,0.234715447
78(5350),Non-draught,4,Female,254,59.09,31.17,56.38,35.11,53.28,28.5,26.73,28.21,26.88,17.1,16.79,27.42,36.79,32.79,26.19,35.62,33.58,28.07,32.64,25.46,34.28,0.623632385,0.641084383,0.232637795
19(5352),Non-draught,10.5,Female,241,54.62,28.61,50.24,31.23,49.51,27.27,25.2,27.07,25.02,16.61,14.75,24.38,33.83,28.67,23.37,33.27,29.73,24.75,28.57,23.11,29.88,0.681296144,0.631151048,0.226639004
14,Non-draught,,Female,244,56.26,28.65,56.54,30.65,52.17,27.44,25.91,27.23,25.28,17.19,15.33,25.3,35.65,30.8,24.03,34.97,32.18,26.42,31.06,23.54,32.08,0.67944664,0.637952559,0.23057377
22(5353),Non-draught,9.5,Female,,66.87,35.36,,35.59,53.45,31.51,30.61,30.71,29.8,18.59,18.07,29.9,39.13,34.63,27.38,38.27,37.7,31.65,35.65,27.06,37.55,0.62173913,0.659970782,
294(5351),Non-draught,13,Male,,59.77,35.28,,36.84,58.01,28.75,27.76,27.85,28.06,17.79,16.25,26.81,35.01,31.61,25.78,35.01,32.33,27.95,32.01,25.48,33.56,0.663558374,0.630333592,
293(5351),Non-draught,7.6,Female,251,55.42,30.43,53.04,32.32,51.36,26.52,25.35,26.67,24.91,16.55,14.97,25.54,34.67,30.18,24.47,34.05,31.27,26.35,30.33,24.51,32.66,0.648003132,0.611769514,0.220796813
301(5187),Non-draught,6.7,Female,252,67.14,34.43,65.05,38.33,63.57,31.98,31.09,32.29,31.17,20.47,17.46,29.78,40.59,36.17,28.88,40.27,37.05,31.19,36.54,28.49,37.52,0.687374077,0.604570637,0.266428571
388(5189),Non-draught,10.3,Female,231,52.18,26.83,46.94,28.23,48.63,25.21,23.96,24.62,23.05,15.56,14.12,23.51,31.57,28.19,22.65,31.48,29.4,24.77,28.38,22.1,30.61,0.661846023,0.623399558,0.225887446
368(5192),Non-draught,10.8,Female,234,55.27,27.3,54.42,28.19,50.81,25.91,26.13,24.9,25.08,17.82,15.19,24.05,31.89,29.03,23.84,31.98,29.71,24.73,28.79,23.26,31.07,0.740956341,0.63716443,0.236196581
353(5250),Non-draught,5.6,Female,,,,,,,,,,,,,,,,,,,,,,,,,
126(5274),Non-draught,5,Female,,,,,,,,,,,,,,,,,,,,,,,,,
188(5286),Non-draught,6,Female,,,,,,,,,,,,,,,,,,,,,,,,,
315(290),Non-draught,5.2,Female,255,63.75,31.93,59.81,34.58,58.57,30.18,28.95,29.64,28.81,19.24,17.78,28.75,39.47,34.94,28.51,38.89,36.34,29.98,35.19,27.99,36.91,0.669217391,0.623640828,0.25
121(293),Non-draught,,Female,249,60.15,32.24,53.18,36.02,56.07,28.01,26.85,27.89,27.13,17.59,16.71,27.64,35.88,32.47,24.77,34.81,32.96,27.45,32.21,25.22,33.36,0.636396527,0.674606379,0.241566265
322(303),Non-draught,12,Female,,66.74,34.14,,36.29,,31.43,30.96,31.17,30.87,20.33,18.48,29.62,39.44,34.65,28.74,39.48,36.76,30.74,34.77,28.43,38.19,0.686360567,0.643006263,
380(319),Non-draught,,Female,,,,,,,,,,,,,,,,,,,,,,,,,
323(5326),Non-draught,,Female,,65.13,33.16,,35.98,56.68,30.92,29.95,30.82,29.72,19.71,17.82,29.43,40.22,34.93,26.81,39.22,35.42,29.82,34.59,26.94,36.49,0.669724771,0.664677359,
265(344),Non-draught,2.9,Female,274,71.09,36.59,67.53,41.05,69.66,33.95,32.96,34.11,31.97,21.64,19.71,32.42,44.84,38.47,30.63,44.29,39.13,33.66,39.02,30.17,40.88,0.667489204,0.643486778,0.259452555
302(532),Non-draught,,Female,247,65.35,33.24,60.78,38.04,60.23,30.88,29.73,30.64,29.31,19.95,17.81,29.34,38.69,35.11,27.31,38.19,35.47,29.97,35.32,27.38,36.78,0.6799591,0.652142073,0.264574899
303(5352),Non-draught,,Female,256,70.86,37.82,68.14,38.69,68.72,33.61,32.31,33.59,32.71,20.59,18.72,33.23,43.92,39.29,31.81,42.18,40.41,34.34,39.86,31.61,42.05,0.619620825,0.588494184,0.276796875
351(5353),Non-draught,7.25,Female,263,66.93,34.76,64.34,36.79,62.51,31.53,30.91,31.74,30.75,19.57,16.58,30.07,40.04,36.35,28.18,38.94,35.61,30.97,36.54,27.83,36.85,0.650814766,0.588360539,0.254486692
379(5353),Non-draught,6.5,Female,235,58.52,30.18,53.78,32.17,55.82,27.82,27.42,27.35,27.08,17.11,15.05,26.98,36.17,32.13,24.72,35.03,32.57,27.28,32.93,25.34,33.91,0.634173462,0.60881877,0.249021277
381(5353),Non-draught,19.6,Female,259,59.33,33.36,55.44,34.92,52.55,28.22,26.94,27.21,25.12,17.25,15.85,27.59,36.13,31.83,25.87,35.57,32.27,27.17,31.84,24.95,33.05,0.625226531,0.612678779,0.229073359
328(5339),Non-draught,7.3,Female,,61.09,33.27,,33.62,59.78,29.98,27.23,29.32,27.25,20.46,15.99,28.69,35.96,32.16,25.94,34.23,30.55,29.91,32.34,25.95,32.58,0.713140467,0.616422513,
329(5232),Non-draught,6,Female,,,,,,,,,,,,,,,,,,,,,,,,,
335(5292),Non-draught,7.2,Female,261,59.39,31.05,62.09,38.48,58.87,27.96,26.92,27.62,27.26,18.18,15.34,26.32,36.21,32.33,25.19,35.89,33.17,27.26,32.67,25.71,33.93,0.690729483,0.608971814,0.227547893
132,Non-draught,6,Female,169,44.64,19.58,37.55,23.14,42.53,21.21,19.42,21.15,20.03,12.95,10.37,18.53,25.95,22.93,17.94,25.67,23.11,19.51,23.42,15.98,23.51,0.698866703,0.578037904,0.264142012
922,Non-draught,9.13,Female,222,52.27,26.07,47.34,30.49,49.42,24.72,23.14,24.95,23.67,15.03,13.53,22.86,31.64,27.75,22.14,31.81,28.39,23.83,28.08,22.27,29.23,0.657480315,0.611111111,0.23545045
886,Non-draught,7.8,Female,210,53.58,26.66,45.73,28.36,44.98,25.58,24.22,25.11,23.79,16.62,14.92,23.63,32.13,28.39,22.27,31.07,28.77,23.91,28.31,22.18,29.45,0.703343208,0.669959587,0.255142857
289,Non-draught,7.3,Female,,53.61,25.62,,26.29,46.62,25.59,25.31,24.52,23.49,17.39,15.12,22.63,30.74,25.78,21.53,29.72,26.38,23.44,24.76,21.87,27.35,0.768448962,0.702275894,
295,Non-draught,6.9,Male,190,52.26,27.15,46.13,29.75,47.26,25.11,23.76,23.78,23.11,17.45,13.89,22.71,31.38,27.06,21.93,30.66,27.19,24.29,27.09,21.71,28.55,0.768383972,0.633378933,0.275052632
760,Non-draught,4.5,Female,252,63.04,32.53,61.25,38.09,62.68,30.09,28.97,31.11,29.55,18.88,17.58,29.26,39.71,34.59,27.58,38.17,35.04,30.25,36.01,29.05,37.14,0.645249487,0.637418419,0.25015873
763,Non-draught,,Female,237,61.51,33.02,56.42,36.51,56.37,29.06,27.64,28.99,27.01,18.72,16.48,28.47,38.36,33.72,26.29,37.35,33.18,29.48,33.88,25.96,33.65,0.657534247,0.626854317,0.259535865
766,Non-draught,,Female,,,,,,,,,,,,,,,,,,,,,,,,,
629,Non-draught,3.3,Female,,,,,,,,,,,,,,,,,,,,,,,,,
912,Non-draught,,Female,,,,,,,,,,,,,,,,,,,,,,,,,
254,Non-draught,7.3,Female,247,55.39,29.22,51.36,32.05,50.23,25.98,25.51,26.06,24.78,17.02,16.34,25.91,36.67,32.57,24.88,35.76,33.78,25.81,32.48,23.64,34.26,0.656889232,0.656752412,0.224251012
1338,Non-draught,3.3,Female,260,59.17,29.61,51.31,35.02,56.75,28.37,26.11,28.33,26.24,18.22,15.11,26.97,36.12,31.81,25.51,35.28,32.63,28.16,31.94,25.78,33.84,0.675565443,0.592316739,0.227576923
1211,Non-draught,2.6,Female,,,,,,,,,,,,,,,,,,,,,,,,,
727,Non-draught,5.1,Male,,,,,,,,,,,,,,,,,,,,,,,,,
726,Non-draught,13.2,Female,,,,,,,,,,,,,,,,,,,,,,,,,
258,Non-draught,,Female,244,56.23,32.51,50.46,34.89,54.83,27.23,26.23,26.53,26.36,16.16,15.06,25.69,34.77,30.41,25.15,34.63,31.71,26.65,30.68,24.61,32.65,0.629038536,0.598807157,0.23045082
5353,Non-draught,5.5,Male,241,58.18,29.59,49.55,32.84,54.46,27.33,26.47,26.77,26.53,17.16,15.53,27.57,35.13,31.52,26.42,34.79,32.31,27.43,31.87,25.79,33.29,0.622415669,0.587812263,0.241410788
5325,Non-draught,8.1,Female,235,59.64,30.97,56.04,33.57,58.35,28.07,27.44,26.47,26.22,17.82,16.45,26.65,36.07,31.29,25.01,35.23,31.98,26.07,31.43,24.96,32.98,0.668667917,0.657736905,0.253787234
513,Non-draught,,Female,217,51.93,25.02,44.97,27.04,44.24,24.99,23.22,25.17,23.33,15.57,14.03,23.12,31.44,27.51,21.81,30.52,28.14,23.51,28.47,22.73,29.04,0.673442907,0.643282898,0.239308756
5342,Non-draught,,Female,,56.41,29.49,,33.76,55.18,27.23,25.29,26.86,25.17,17.79,15.01,26.65,35.85,31.47,24.64,34.48,32.19,27.09,31.99,23.59,33.55,0.667542214,0.609172078,
539,Non-draught,3,Male,246,65.7,32.67,58.94,40.89,56.52,30.57,29.97,31.12,30.39,19.68,18.68,28.49,39.25,33.52,25.96,38.28,35.05,30.27,33.82,26.87,36.97,0.690768691,0.719568567,0.267073171
5226,Non-draught,5.6,Female,207,50.17,25.14,46.41,29.09,46.68,23.69,22.74,23.36,21.87,15.45,14.62,23.94,31.37,28.02,22.37,31.33,29.13,24.16,28.31,23.26,29.82,0.645363409,0.653553867,0.24236715
744,Non-draught,4.4,Male,233,63.63,32.59,57.54,38.47,58.19,30.63,29.08,29.77,28.67,19.79,17.95,28.57,37.24,33.06,27.26,36.35,34.22,29.52,33.64,27.04,35.28,0.692684634,0.658473955,0.273090129
253,Non-draught,7.6,Female,223,50.94,26.22,43.92,28.97,45.96,23.87,23.35,23.71,22.93,14.78,13.47,23.55,31.13,27.69,22.29,30.65,28.35,24.02,27.98,22.38,29.82,0.627600849,0.604306864,0.228430493
1128,Non-draught,,Female,225,51.84,26.37,45.83,26.31,47.49,24.59,23.51,24.01,23.07,16.15,13.79,22.92,31.25,27.41,21.71,30.58,27.71,22.11,28.01,23.94,27.87,0.704624782,0.635191156,0.2304
257,Non-draught,,Female,234,60.18,30.25,53.45,34.77,56.04,28.24,27.83,27.92,27.33,17.29,16.73,26.16,34.89,30.92,25.14,34.34,31.71,26.68,31.07,25.65,32.67,0.660932722,0.665473349,0.257179487
1422,Non-draught,4.2,Female,235,52.74,26.59,47.65,27.95,48.27,24.58,23.81,24.36,23.98,16.05,14.36,24.24,31.85,28.55,23.15,31.59,28.95,24.72,28.71,23.64,29.22,0.662128713,0.620302376,0.224425532
728,Non-draught,10.3,Female,216,50.15,25.37,48.12,28.37,46.96,23.29,22.83,23.57,22.73,15.11,13.57,22.81,30.91,26.62,20.94,29.81,27.84,23.08,27.03,20.95,27.99,0.662428759,0.648042025,0.232175926
1423,Non-draught,7.1,Female,228,53.52,27.55,48.24,27.84,50.85,25.02,24.37,24.98,24.31,15.76,13.78,24.86,32.56,28.57,22.18,31.48,28.95,24.55,28.91,21.91,29.86,0.633950121,0.621280433,0.234736842
633,Non-draught,,Castrated Male,256,58.36,30.51,51.21,34.64,55.23,27.27,26.46,26.65,25.96,15.82,15.36,25.75,34.27,29.92,23.75,33.13,31.01,25.71,29.96,23.08,32.15,0.614368932,0.646736842,0.22796875
603,Non-draught,5.4,Female,232,50.53,26.02,44.42,26.75,46.04,23.96,22.18,23.76,22.57,14.52,13.19,22.36,30.33,26.31,21.21,29.72,26.71,22.91,26.21,21.31,27.16,0.649373882,0.621876473,0.217801724
1520,Non-draught,3,Female,225,51.93,25.98,47.31,26.49,47.78,23.81,23.7,24.05,23.58,15.26,13.55,25.12,31.98,28.23,22.88,31.75,29.05,24.97,28.56,23.37,29.52,0.607484076,0.59222028,0.2308
1424,Non-draught,8.2,Female,216,50.95,25.23,47.03,27.71,46.69,23.84,23.24,23.53,23.31,15.24,13.24,24.12,29.85,26.88,22.57,30.71,28.34,23.95,27.62,23.22,28.64,0.631840796,0.586619406,0.23587963
1200,Non-draught,6.9,Female,,,,,,,,,,,,,,,,,,,,,,,,,
1573,Non-draught,,Male,,,,,,,,,,,,,,,,,,,,,,,,,
251,Non-draught,7.25,Female,,60.25,34.08,,34.38,58.33,29.03,27.13,28.97,27.29,19.25,17.06,27.59,36.79,32.49,25.95,35.13,31.75,28.46,33.04,25.36,32.97,0.697716564,0.657418112,
594,Non-draught,,Female,216,40.71,23.71,,26.46,40.54,19.31,18.59,,,12.64,11.31,,,,,,,,,,,,,0.188472222
255,Non-draught,9.5,Female,256,69.07,39.34,65.14,42.86,63.87,32.32,32.31,33.02,31.55,20.18,19.54,29.34,40.92,36.02,28.76,40.19,36.42,31.07,35.59,27.79,37.78,0.687798228,0.679415855,0.269804688
256,Non-draught,9.6,Female,231,60.68,30.15,50.78,34.31,53.94,28.35,28.28,28.51,27.17,17.71,17.87,26.34,35.76,31.28,25.97,35.08,32.32,28.01,31.63,26.19,33.93,0.672361427,0.688101656,0.262683983
40(zoo animal),Non-draught,,Female,241,54.97,27.42,50.99,34.31,49.28,25.88,24.42,25.72,25.04,17.08,15.15,25.17,32.45,27.94,23.63,31.89,28.63,25.24,28.29,24.12,29.36,0.678585618,0.641134152,0.228091286
31,Non-draught,,Female,246,61.23,29.87,54.56,32.65,53.72,29.38,28.36,29.57,27.54,18.88,16.23,28.17,37.42,33.59,27.17,36.29,33.63,29.65,34.01,27.51,35.03,0.670216542,0.597350018,0.248902439
