ID,Type,Age,Sex,Type/Breed/Species,Side,PH2_Anterior_GLpe,PH2_Anterior_Bp,PH2_Anterior_Dp,PH2_Anterior_Bd,PH2_Bp_GLpe,PH2_Bd_GLpe
1494,Non-draught,6.3,Female,Jersey,A,37.73,28.03,30.96,22.7,0.742910151,0.601643255
0078,Non-draught,,Female,Unknown,A,42.83,30.51,33.22,24.33,0.712351156,0.568059771
76,Non-draught,3.8,Female,Breitenburger,A,42.28,30.65,34.04,24.96,0.724929044,0.590350047
285(5321),Non-draught,,Female,Holstein Friesian,A,41.59,34.72,36.04,26.14,0.834816062,0.62851647
398(5199),Non-draught,6.8,Female,Wilstermarscher   ,A,42.87,32.75,34.49,28.55,0.763937485,0.665966877
218(5261),Non-draught,8.7,Female,Holländer,A,50.06,34.75,37.01,27.61,0.694167,0.551538154
1035,Non-draught,,Male,Unknown,A,52.16,38.48,41.2,29.01,0.737730061,0.556173313
83(5273),Non-draught,17,Female,Butjadinger,A,50.22,35.92,38.3,28.34,0.715252887,0.564317005
770(5341),Non-draught,18.8,Female,Holstein Friesian crossbreed,A,42.95,32.89,39.31,27.62,0.765774156,0.643073341
14,Non-draught,,Female,Angeln,A,43.15,32.94,33.26,23.96,0.763383546,0.555272306
22(5353),Non-draught,9.5,Female,Ansbach-Triesdorfer,A,44.48,35.97,38.69,26.46,0.808678058,0.594874101
294(5351),Non-draught,13,Male,Podolian,A,45.11,33.69,41.35,28.81,0.746841055,0.638661051
293(5351),Non-draught,7.6,Female,Podolian,A,43.6,33.02,35.17,25.42,0.75733945,0.583027523
388(5189),Non-draught,10.3,Female,Westerwälder,A,40.59,27.57,31.59,21.29,0.679231338,0.524513427
368(5192),Non-draught,10.8,Female,Westerwälder,A,41.5,30.58,31.34,20.45,0.73686747,0.492771084
353(5250),Non-draught,5.6,Female,Simmental,A,42.9,35.03,39.41,24.54,0.816550117,0.572027972
126(5274),Non-draught,5,Female,Fribourgeoise,A,45.3,33.29,36.65,26.76,0.734878587,0.590728477
188(5286),Non-draught,6,Female,Harzer,A,37.61,32.66,33.02,24.89,0.868386068,0.661792077
323(5326),Non-draught,,Female,Schwyzer,A,43.79,36.68,38.51,24.85,0.837634163,0.56748116
302(532),Non-draught,,Female,Prättigauer,A,46.87,36.56,40.38,28.22,0.78002987,0.60209089
303(5352),Non-draught,,Female,Prättigauer,A,51.57,38.19,45.19,30.95,0.74054683,0.600155129
351(5353),Non-draught,7.25,Female,Simmental,A,47.48,35.55,40.19,26.59,0.74873631,0.560025274
381(5353),Non-draught,19.6,Female,Vogelsberg,A,44.02,32.17,36.36,22.45,0.73080418,0.509995457
329(5232),Non-draught,6,Female,Shorthorn,A,45.54,34.35,40.03,26.07,0.75428195,0.572463768
335(5292),Non-draught,7.2,Female,Shorthorn,A,46.23,35.11,37.61,25.07,0.759463552,0.542288557
886,Non-draught,7.8,Female,Breitenburger,A,36.37,27.96,30.66,20.71,0.768765466,0.569425351
289,Non-draught,7.3,Female,Kerry,A,35.37,27.79,31.07,20.21,0.785694091,0.571388182
629,Non-draught,3.3,Female,Holländer crossbreed,A,46.33,30.55,37.49,24.08,0.659399957,0.519749622
912,Non-draught,,Female,Unknown,A,40.96,29.11,32.35,20.47,0.710693359,0.499755859
726,Non-draught,13.2,Female,Galloway,A,38.83,30.53,33.27,21.74,0.786247747,0.559876384
5353,Non-draught,5.5,Male,Jersey,A,45.22,33.01,34.95,24.07,0.729986732,0.532286599
5325,Non-draught,8.1,Female,Longhorn,A,42.51,34.12,34.97,23.88,0.802634674,0.561750176
513,Non-draught,,Female,Fjäll,A,36.63,27.32,29.43,21.15,0.745836746,0.577395577
5342,Non-draught,,Female,Unknown,A,45.82,32.74,38.14,24.79,0.714535137,0.541030118
539,Non-draught,3,Male,Shorthorn crossbreed,A,50.07,37.12,42.44,30.54,0.741362093,0.609946075
5226,Non-draught,5.6,Female,Devon,A,39.14,28.33,30.93,20.87,0.723811957,0.533214103
257,Non-draught,,Female,Longhorn,A,43.37,32.11,35.38,24.66,0.74037353,0.568595804
1423,Non-draught,7.1,Female,Jersey,A,40.59,29.23,33.46,21.81,0.72012811,0.537324464
633,Non-draught,,Castrated Male,Hungarian Grey,A,40.56,31.54,35.87,22.09,0.777613412,0.544625247
603,Non-draught,5.4,Female,Jersey,A,39.34,27.24,31.95,21.19,0.692425013,0.538637519
1520,Non-draught,3,Female,Jersey,A,38.79,27.25,30.27,22.83,0.702500644,0.588553751
1200,Non-draught,6.9,Female,Unknown,A,46.57,32.69,38.65,24.67,0.701954048,0.529740176
594,Non-draught,,Female,Banteng (Bos javanicus),A,39.15,23.25,30.29,17.98,0.593869732,0.459259259
